case,problem,num_cores,predicted_bytes,actual_boundary_bytes,abs_err,rel_err
case_001,1,4,1643008,1643008,0,0.0
case_001,2,4,1643008,1643008,0,0.0
case_001,3,4,1643008,1643008,0,0.0
case_002,1,4,1448448,1448448,0,0.0
case_002,2,4,1365504,1365504,0,0.0
case_002,3,4,1365504,1365504,0,0.0
case_003,1,4,5376284,5376284,0,0.0
case_003,2,4,4930876,4930876,0,0.0
case_003,3,4,4930876,4930876,0,0.0
case_004,1,4,1124352,1124352,0,0.0
case_004,2,4,1124352,1124352,0,0.0
case_004,3,4,1124352,1124352,0,0.0
case_005,1,4,1362576,1362576,0,0.0
case_005,2,4,988056,988056,0,0.0
case_005,3,4,1416790,1416790,0,0.0
case_006,1,4,1146970,1146970,0,0.0
case_006,2,4,1041740,1041740,0,0.0
case_006,3,4,1156220,1156220,0,0.0
case_007,1,4,1815552,1815552,0,0.0
case_007,2,4,1815552,1815552,0,0.0
case_007,3,4,1815552,1815552,0,0.0
case_008,1,4,2654424,2654424,0,0.0
case_008,2,4,2654424,2654424,0,0.0
case_008,3,4,2654424,2654424,0,0.0
case_009,1,4,1155340,1155340,0,0.0
case_009,2,4,1122942,1122942,0,0.0
case_009,3,4,1122942,1122942,0,0.0
case_010,1,4,880452,880452,0,0.0
case_010,2,4,853938,853938,0,0.0
case_010,3,4,1162034,1162034,0,0.0
case_011,1,4,1146880,1146880,0,0.0
case_011,2,4,1146880,1146880,0,0.0
case_011,3,4,1146880,1146880,0,0.0
case_012,1,4,639438,639438,0,0.0
case_012,2,4,627914,627914,0,0.0
case_012,3,4,712334,712334,0,0.0
case_013,1,4,2551808,2551808,0,0.0
case_013,2,4,2551808,2551808,0,0.0
case_013,3,4,2551808,2551808,0,0.0
case_014,1,4,33281476,33281476,0,0.0
case_014,2,4,33281476,33281476,0,0.0
case_014,3,4,33281476,33281476,0,0.0
case_015,1,4,1805274,1805274,0,0.0
case_015,2,4,1805270,1805270,0,0.0
case_015,3,4,1963294,1963294,0,0.0
case_016,1,4,58982998,58982998,0,0.0
case_016,2,4,1573462,1573462,0,0.0
case_016,3,4,1573462,1573462,0,0.0
case_017,1,4,889238,889238,0,0.0
case_017,2,4,889238,889238,0,0.0
case_017,3,4,889238,889238,0,0.0
case_018,1,4,5283088,5283088,0,0.0
case_018,2,4,5283088,5283088,0,0.0
case_018,3,4,5283088,5283088,0,0.0
case_019,1,4,847540,847540,0,0.0
case_019,2,4,725932,725932,0,0.0
case_019,3,4,837324,837324,0,0.0
case_020,1,4,2359296,2359296,0,0.0
case_020,2,4,2359296,2359296,0,0.0
case_020,3,4,2359296,2359296,0,0.0
case_021,1,4,7946240,7946240,0,0.0
case_021,2,4,7946240,7946240,0,0.0
case_021,3,4,7946240,7946240,0,0.0
case_022,1,4,371774,371774,0,0.0
case_022,2,4,384098,384098,0,0.0
case_022,3,4,384098,384098,0,0.0
case_023,1,4,1246432,1246432,0,0.0
case_023,2,4,1124564,1124564,0,0.0
case_023,3,4,1473762,1473762,0,0.0
case_024,1,4,16515238,16515238,0,0.0
case_024,2,4,1573030,1573030,0,0.0
case_024,3,4,1573030,1573030,0,0.0
case_025,1,4,8300544,8300544,0,0.0
case_025,2,4,8300544,8300544,0,0.0
case_025,3,4,8300544,8300544,0,0.0
case_026,1,4,1259254,1259254,0,0.0
case_026,2,4,1095414,1095414,0,0.0
case_026,3,4,1210278,1210278,0,0.0
case_027,1,4,5357568,5357568,0,0.0
case_027,2,4,5357568,5357568,0,0.0
case_027,3,4,5357568,5357568,0,0.0
case_028,1,4,12354048,12354048,0,0.0
